Vdm, Vout
0.12392392392392393,4.89
0.12432432432432433,4.895
0.12472472472472473,4.895
0.12512512512512514,4.895
0.12552552552552554,4.895
0.12592592592592594,4.9
0.12632632632632634,4.9
0.12672672672672675,4.9
0.12712712712712715,4.9
0.12752752752752755,4.9
0.12792792792792795,4.9
0.12832832832832836,4.9
0.12872872872872876,4.9
0.1291291291291291,4.9
0.1295295295295295,4.905
0.1299299299299299,4.905
0.1303303303303303,4.905
0.13073073073073072,4.905
0.13113113113113112,4.905
0.13153153153153152,4.905
0.13193193193193192,4.905
0.13233233233233233,4.905
0.13273273273273273,4.905
0.13313313313313313,4.905
0.13353353353353353,4.905
0.13393393393393394,4.905
0.13433433433433434,4.91
0.13473473473473474,4.91
0.13513513513513514,4.91
0.13553553553553555,4.91
0.13593593593593595,4.91
0.13633633633633635,4.91
0.13673673673673675,4.91
0.13713713713713716,4.91
0.13753753753753756,4.91
0.13793793793793796,4.91
0.13833833833833836,4.91
0.13873873873873876,4.91
0.13913913913913917,4.915
0.13953953953953957,4.91
0.13993993993993992,4.915
0.14034034034034032,4.915
0.14074074074074072,4.915
0.14114114114114112,4.915
0.14154154154154153,4.915
0.14194194194194193,4.915
0.14234234234234233,4.915
0.14274274274274273,4.915
0.14314314314314314,4.915
0.14354354354354354,4.92
0.14394394394394394,4.92
0.14434434434434434,4.92
0.14474474474474475,4.92
0.14514514514514515,4.915
0.14554554554554555,4.92
0.14594594594594595,4.92
0.14634634634634636,4.92
0.14674674674674676,4.92
0.14714714714714716,4.92
0.14754754754754756,4.92
0.14794794794794797,4.925
0.14834834834834837,4.925
0.14874874874874877,4.925
0.14914914914914917,4.925
0.14954954954954958,4.925
0.14994994994994998,4.925
0.15035035035035038,4.925
0.15075075075075073,4.925
0.15115115115115113,4.925
0.15155155155155153,4.925
0.15195195195195194,4.925
0.15235235235235234,4.925
0.15275275275275274,4.925
0.15315315315315314,4.925
0.15355355355355355,4.925
0.15395395395395395,4.925
0.15435435435435435,4.93
0.15475475475475475,4.93
0.15515515515515516,4.93
0.15555555555555556,4.93
0.15595595595595596,4.93
